"List","Card Title","Epic","Labels","Description","Checklist Items"
"Ready","Confirm COMP1 hardware purchase target","Hardware And OS Selection","hardware","Choose the target COMP1 hardware tier and confirm the first purchase target for the Windows streaming appliance. Reference: docs/hardware.md","Choose the Windows mini PC tier | Confirm 32 GB RAM, 1 TB NVMe, and Windows 11 Pro | Confirm Ethernet-first setup | Verify BIOS power-on after power loss support | Save the final selected model and purchase link"
"Ready","Create monorepo scaffold","Repo Bootstrap And Docs","docs","Create the initial repository structure and bootstrap documentation for the Discord streaming appliance project. Reference: README.md and docs/architecture.md","Add root README.md | Add architecture, hardware, API, developer mode, and automation docs | Create apps, services, packages, and ops folders | Confirm repository layout is visible and documented | Confirm docs reflect the v1 architecture"
"Ready","Define desktop-side request and state types","Shared Contracts","desktop","Define the shared contracts used by the COMP2 desktop app when calling the COMP1 control API. Reference: packages/shared-contracts/src/index.ts","Add login request and response types | Add health and state response types | Add browser open request type | Add stream start request type | Add developer-mode launch response type | Export all types from the shared contracts package"
"Ready","Implement authenticated LAN API","COMP1 API And Auth","backend","Build the COMP1 control API with username/password login, bearer token validation, and protected endpoints for control and status. Reference: services/comp1-agent/Program.cs","Add username/password login endpoint | Add bearer token validation | Add health and state endpoints | Add browser-open endpoint | Add Discord launch endpoint | Add stream start and stop endpoints | Add developer-mode launch endpoint | Confirm protected routes reject missing or invalid tokens"
"Ready","Build operator console shell","COMP2 Desktop Shell","desktop","Build the COMP2 Electron shell that logs into COMP1, shows state, and triggers appliance actions. Reference: apps/comp2-desktop/src/","Add login form | Add health and state panel | Add URL and Discord target inputs | Add action buttons for launch, stream, stop, and developer mode | Wire renderer actions through preload IPC | Confirm the renderer can authenticate and invoke the control endpoints"
"Ready","Start or focus Discord","Discord Launch Automation","automation","Implement the Discord launch step inside the COMP1 automation layer and report useful traces back to the controller. Reference: services/comp1-automation/Comp1AutomationOrchestrator.cs","Detect Discord executable path | Start Discord when missing | Focus Discord when already running if needed | Record trace entries for each step | Return success or error details to the agent state"
"Ready","Open browser URL from COMP2","Browser URL Playback Automation","automation","Allow the COMP2 controller to send a URL that COMP1 opens in the preferred browser and tracks in state. Reference: services/comp1-agent/Program.cs and services/comp1-automation/Comp1AutomationOrchestrator.cs","Validate URL format | Launch the preferred browser | Track current URL in state | Report browser running status | Surface failures clearly to COMP2"
"Architecture / Research","Orchestrate end-to-end stream workflow","Discord Call Join And Stream Automation","automation,spike","Implement and validate the riskiest vertical slice: open a browser URL, launch Discord, join the selected call, and start streaming with system audio. Reference: docs/automation-spike.md","Optionally open the target URL | Launch Discord | Join the selected destination | Start stream with system audio | Record every workflow step in the trace buffer | Capture enough failure context for quick debugging"
"Architecture / Research","Launch RDP from controller app","Developer-Mode Remote Desktop","desktop,ops","Use Windows RDP as the first developer-mode transport and launch it directly from the COMP2 app. Reference: docs/developer-mode.md and ops/comp1/setup-rdp.ps1","Request launch metadata from COMP1 | Start mstsc on COMP2 | Verify RDP host and port handling | Document any session visibility caveats | Confirm the operator can open RDP directly from the app"
"Architecture / Research","Define startup and recovery scripts","Boot / Recovery / Watchdog","ops","Document and script how the COMP1 appliance returns to a controllable state after reboot or power loss. Reference: ops/comp1/","Document service startup path | Add RDP enablement script | Add startup task registration script | Record recovery expectations after reboot | Verify ops/comp1 contains setup artifacts and recovery notes"
"Ideas","Reserve plugin-friendly device action shape","HTTP LAN Device Integration","backend,ideas","Preserve a clean boundary for future HTTP-based LAN device integrations without coupling them to Discord automation. Reference: docs/control-api.md and docs/architecture.md","Document future device action contract | Reserve route family for device actions | Keep the device bridge separate from Discord automation | Note likely adapter/plugin extension points"
