"List Name","Card Name","Card Description","Labels","Checklist Name","Checklist Item"
"Ready","Confirm COMP1 hardware purchase target","Epic: Hardware And OS Selection\n\nChoose the target COMP1 hardware tier and confirm the first purchase target for the Windows streaming appliance. Reference: docs/hardware.md","hardware","Implementation","Choose the Windows mini PC tier"
"Ready","Confirm COMP1 hardware purchase target","","hardware","Implementation","Confirm 32 GB RAM, 1 TB NVMe, and Windows 11 Pro"
"Ready","Confirm COMP1 hardware purchase target","","hardware","Implementation","Confirm Ethernet-first setup"
"Ready","Confirm COMP1 hardware purchase target","","hardware","Acceptance Criteria","Target spec recorded in docs/hardware.md"
"Ready","Confirm COMP1 hardware purchase target","","hardware","Acceptance Criteria","Buying checklist documented"
"Ready","Create monorepo scaffold","Epic: Repo Bootstrap And Docs\n\nCreate the initial repository structure and bootstrap documentation for the Discord streaming appliance project. Reference: README.md and docs/architecture.md","docs","Implementation","Add root README.md"
"Ready","Create monorepo scaffold","","docs","Implementation","Add docs for architecture, API, hardware, developer mode, and automation spike"
"Ready","Create monorepo scaffold","","docs","Implementation","Create apps, services, packages, and ops structure"
"Ready","Create monorepo scaffold","","docs","Acceptance Criteria","Repository layout is visible and documented"
"Ready","Create monorepo scaffold","","docs","Acceptance Criteria","Docs reflect the v1 architecture"
"Ready","Define desktop-side request and state types","Epic: Shared Contracts\n\nDefine the shared contracts used by the COMP2 desktop app when calling the COMP1 control API. Reference: packages/shared-contracts/src/index.ts","desktop","Implementation","Add login request and response types"
"Ready","Define desktop-side request and state types","","desktop","Implementation","Add health and state response types"
"Ready","Define desktop-side request and state types","","desktop","Implementation","Add browser open request type"
"Ready","Define desktop-side request and state types","","desktop","Implementation","Add stream start request type"
"Ready","Define desktop-side request and state types","","desktop","Implementation","Add developer-mode launch response type"
"Ready","Define desktop-side request and state types","","desktop","Acceptance Criteria","Export all types from the shared contracts package"
"Ready","Implement authenticated LAN API","Epic: COMP1 API And Auth\n\nBuild the COMP1 control API with username/password login, bearer token validation, and protected endpoints for control and status. Reference: services/comp1-agent/Program.cs","backend","Implementation","Add username/password login endpoint"
"Ready","Implement authenticated LAN API","","backend","Implementation","Add bearer token validation"
"Ready","Implement authenticated LAN API","","backend","Implementation","Add health and state endpoints"
"Ready","Implement authenticated LAN API","","backend","Implementation","Add browser-open endpoint"
"Ready","Implement authenticated LAN API","","backend","Implementation","Add Discord launch endpoint"
"Ready","Implement authenticated LAN API","","backend","Implementation","Add stream start and stop endpoints"
"Ready","Implement authenticated LAN API","","backend","Implementation","Add developer-mode launch endpoint"
"Ready","Implement authenticated LAN API","","backend","Acceptance Criteria","Minimal API starts with configured credentials"
"Ready","Implement authenticated LAN API","","backend","Acceptance Criteria","Protected routes reject missing or invalid tokens"
"Ready","Build operator console shell","Epic: COMP2 Desktop Shell\n\nBuild the COMP2 Electron shell that logs into COMP1, shows state, and triggers appliance actions. Reference: apps/comp2-desktop/src/","desktop","Implementation","Add login form"
"Ready","Build operator console shell","","desktop","Implementation","Add health and state panel"
"Ready","Build operator console shell","","desktop","Implementation","Add URL and Discord target inputs"
"Ready","Build operator console shell","","desktop","Implementation","Add action buttons for launch, stream, stop, and developer mode"
"Ready","Build operator console shell","","desktop","Implementation","Wire renderer actions through preload IPC"
"Ready","Build operator console shell","","desktop","Acceptance Criteria","Renderer can authenticate and invoke the control endpoints"
"Ready","Start or focus Discord","Epic: Discord Launch Automation\n\nImplement the Discord launch step inside the COMP1 automation layer and report useful traces back to the controller. Reference: services/comp1-automation/Comp1AutomationOrchestrator.cs","automation","Implementation","Detect Discord executable path"
"Ready","Start or focus Discord","","automation","Implementation","Start Discord when missing"
"Ready","Start or focus Discord","","automation","Implementation","Focus Discord when already running if needed"
"Ready","Start or focus Discord","","automation","Implementation","Record trace entries for each step"
"Ready","Start or focus Discord","","automation","Acceptance Criteria","Return success or error details to the agent state"
"Ready","Open browser URL from COMP2","Epic: Browser URL Playback Automation\n\nAllow the COMP2 controller to send a URL that COMP1 opens in the preferred browser and tracks in state. Reference: services/comp1-agent/Program.cs and services/comp1-automation/Comp1AutomationOrchestrator.cs","automation","Implementation","Validate URL format"
"Ready","Open browser URL from COMP2","","automation","Implementation","Launch the preferred browser"
"Ready","Open browser URL from COMP2","","automation","Implementation","Track current URL in state"
"Ready","Open browser URL from COMP2","","automation","Implementation","Report browser running status"
"Ready","Open browser URL from COMP2","","automation","Acceptance Criteria","Surface failures clearly to COMP2"
"Architecture / Research","Orchestrate end-to-end stream workflow","Epic: Discord Call Join And Stream Automation\n\nImplement and validate the riskiest vertical slice: open a browser URL, launch Discord, join the selected call, and start streaming with system audio. Reference: docs/automation-spike.md","automation,spike","Implementation","Optionally open the target URL"
"Architecture / Research","Orchestrate end-to-end stream workflow","","automation,spike","Implementation","Launch Discord"
"Architecture / Research","Orchestrate end-to-end stream workflow","","automation,spike","Implementation","Join the selected destination"
"Architecture / Research","Orchestrate end-to-end stream workflow","","automation,spike","Implementation","Start stream with system audio"
"Architecture / Research","Orchestrate end-to-end stream workflow","","automation,spike","Acceptance Criteria","Trace buffer shows every workflow step"
"Architecture / Research","Orchestrate end-to-end stream workflow","","automation,spike","Acceptance Criteria","Failures surface clearly to COMP2"
"Architecture / Research","Launch RDP from controller app","Epic: Developer-Mode Remote Desktop\n\nUse Windows RDP as the first developer-mode transport and launch it directly from the COMP2 app. Reference: docs/developer-mode.md and ops/comp1/setup-rdp.ps1","desktop,ops","Implementation","Request launch metadata from COMP1"
"Architecture / Research","Launch RDP from controller app","","desktop,ops","Implementation","Start mstsc on COMP2"
"Architecture / Research","Launch RDP from controller app","","desktop,ops","Implementation","Verify RDP host and port handling"
"Architecture / Research","Launch RDP from controller app","","desktop,ops","Acceptance Criteria","Operator can open RDP directly from the app"
"Architecture / Research","Define startup and recovery scripts","Epic: Boot / Recovery / Watchdog\n\nDocument and script how the COMP1 appliance returns to a controllable state after reboot or power loss. Reference: ops/comp1/","ops","Implementation","Document service startup path"
"Architecture / Research","Define startup and recovery scripts","","ops","Implementation","Add RDP enablement script"
"Architecture / Research","Define startup and recovery scripts","","ops","Implementation","Add startup task registration script"
"Architecture / Research","Define startup and recovery scripts","","ops","Implementation","Record recovery expectations after reboot"
"Architecture / Research","Define startup and recovery scripts","","ops","Acceptance Criteria","ops/comp1 contains setup artifacts and recovery notes"
"Ideas","Reserve plugin-friendly device action shape","Epic: HTTP LAN Device Integration\n\nPreserve a clean boundary for future HTTP-based LAN device integrations without coupling them to Discord automation. Reference: docs/control-api.md and docs/architecture.md","backend,ideas","Implementation","Document future device action contract"
